treeID,species,genus,dataset,data_type,tree_H,filename,fractal_dimension
70,Eucalyptus_miniata,Eucalyptus,Luck,TLS,9.017999828,/train_data/00070.laz,1.2929627570540254
71,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.840999663,/train_data/00071.laz,1.251293009338045
72,Eucalyptus_miniata,Eucalyptus,Luck,TLS,14.8950001,/train_data/00072.laz,1.3954070609124485
73,Eucalyptus_miniata,Eucalyptus,Luck,TLS,18.73400038,/train_data/00073.laz,1.507730442638485
74,Eucalyptus_miniata,Eucalyptus,Luck,TLS,6.496999919,/train_data/00074.laz,1.1463425012983328
76,Eucalyptus_miniata,Eucalyptus,Luck,TLS,9.02300036,/train_data/00076.laz,1.2973262266180419
78,Eucalyptus_miniata,Eucalyptus,Luck,TLS,10.11199966,/train_data/00078.laz,1.2962760834054028
79,Eucalyptus_miniata,Eucalyptus,Luck,TLS,19.99599952,/train_data/00079.laz,1.5135891739626928
80,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.107000053,/train_data/00080.laz,1.1941576917756223
81,Eucalyptus_miniata,Eucalyptus,Luck,TLS,6.030999959,/train_data/00081.laz,1.1768731533061447
82,Eucalyptus_miniata,Eucalyptus,Luck,TLS,16.70800078,/train_data/00082.laz,1.4872411255251186
83,Eucalyptus_miniata,Eucalyptus,Luck,TLS,18.99299926,/train_data/00083.laz,1.5208080971827243
84,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.993000209,/train_data/00084.laz,1.252144115721836
86,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.621999949,/train_data/00086.laz,1.1608959111853605
88,Eucalyptus_miniata,Eucalyptus,Luck,TLS,3.772999972,/train_data/00088.laz,1.0712377275989586
90,Eucalyptus_miniata,Eucalyptus,Luck,TLS,16.6940003,/train_data/00090.laz,1.4852316036458098
92,Eucalyptus_miniata,Eucalyptus,Luck,TLS,6.918999791,/train_data/00092.laz,1.1821511943054628
93,Eucalyptus_miniata,Eucalyptus,Luck,TLS,6.791000098,/train_data/00093.laz,1.2027549021529504
94,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.972000062,/train_data/00094.laz,1.200389151037838
95,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.626000315,/train_data/00095.laz,1.2116568374749077
98,Eucalyptus_miniata,Eucalyptus,Luck,TLS,21.40199965,/train_data/00098.laz,1.5020252627254569
99,Eucalyptus_miniata,Eucalyptus,Luck,TLS,6.591999888,/train_data/00099.laz,1.2327121251157878
100,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.543999791,/train_data/00100.laz,1.1008226430756625
101,Eucalyptus_miniata,Eucalyptus,Luck,TLS,9.191999882,/train_data/00101.laz,1.2048012161916297
102,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.279999912,/train_data/00102.laz,1.1787213329949653
104,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.801000416,/train_data/00104.laz,1.1410975845162625
105,Eucalyptus_miniata,Eucalyptus,Luck,TLS,17.83899993,/train_data/00105.laz,1.464076213808361
106,Eucalyptus_miniata,Eucalyptus,Luck,TLS,9.365000367,/train_data/00106.laz,1.2354433776774045
107,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.231000125,/train_data/00107.laz,1.1891866001473606
108,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.184999645,/train_data/00108.laz,1.3418892843175287
109,Eucalyptus_miniata,Eucalyptus,Luck,TLS,21.12399977,/train_data/00109.laz,1.5430703647978232
110,Eucalyptus_miniata,Eucalyptus,Luck,TLS,15.39400023,/train_data/00110.laz,1.4692678585816172
111,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.807999641,/train_data/00111.laz,1.2325723641114736
112,Eucalyptus_miniata,Eucalyptus,Luck,TLS,18.38000029,/train_data/00112.laz,1.5304074010460678
113,Eucalyptus_miniata,Eucalyptus,Luck,TLS,6.907999903,/train_data/00113.laz,1.2067668218975358
114,Eucalyptus_miniata,Eucalyptus,Luck,TLS,13.50600043,/train_data/00114.laz,1.4748852931935534
115,Eucalyptus_miniata,Eucalyptus,Luck,TLS,9.230000138,/train_data/00115.laz,1.2496619854782995
116,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.620000064,/train_data/00116.laz,1.2087616292366892
117,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.498999804,/train_data/00117.laz,1.2120438881216067
118,Eucalyptus_miniata,Eucalyptus,Luck,TLS,14.33699989,/train_data/00118.laz,1.4202944646220126
119,Eucalyptus_miniata,Eucalyptus,Luck,TLS,9.377999514,/train_data/00119.laz,1.1730798732970058
121,Eucalyptus_miniata,Eucalyptus,Luck,TLS,21.00300086,/train_data/00121.laz,1.454980343935798
122,Eucalyptus_miniata,Eucalyptus,Luck,TLS,9.356000006,/train_data/00122.laz,1.2572939009595923
123,Eucalyptus_miniata,Eucalyptus,Luck,TLS,20.87200034,/train_data/00123.laz,1.4916023621289092
124,Eucalyptus_miniata,Eucalyptus,Luck,TLS,5.768000036,/train_data/00124.laz,1.055473180089646
125,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.110999852,/train_data/00125.laz,1.1795868843969866
126,Eucalyptus_miniata,Eucalyptus,Luck,TLS,10.37899989,/train_data/00126.laz,1.3493641778660064
127,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.441999614,/train_data/00127.laz,1.2475767870133445
128,Eucalyptus_miniata,Eucalyptus,Luck,TLS,2.280000031,/train_data/00128.laz,0.8890364871197056
129,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.493000418,/train_data/00129.laz,1.2332058609622363
130,Eucalyptus_miniata,Eucalyptus,Luck,TLS,16.56499976,/train_data/00130.laz,1.4834492199109548
132,Eucalyptus_miniata,Eucalyptus,Luck,TLS,6.17900008,/train_data/00132.laz,1.1039518682285545
133,Eucalyptus_miniata,Eucalyptus,Luck,TLS,7.408999979,/train_data/00133.laz,1.2167916882545446
134,Eucalyptus_miniata,Eucalyptus,Luck,TLS,8.419999614,/train_data/00134.laz,1.228966880644904
135,Eucalyptus_miniata,Eucalyptus,Luck,TLS,11.667,/train_data/00135.laz,1.3582773524541423
