filename,num_points,height,crown_diameter,crown_area,volume,point_density,dbh_approx,p10_height_rel,p50_height_rel,p90_height_rel
00070.laz,79260,9.018,2.884,5.289497,18.700810541833327,4238.31896605214,0.10350000000000004,0.3599467731204258,0.8941006875138612,0.946773120425815
00071.laz,88461,7.841,3.7110000000000003,7.032598500000001,20.901098700166663,4232.361239425879,0.19600000000000006,0.5050376227522,0.7895676571865833,0.8756536156102538
00072.laz,68132,14.895,3.537,3.91388,19.974889608666675,3410.8824296299986,0.24449999999999988,0.10493454179254784,0.4792212151728768,0.7865726753944278
00073.laz,522001,18.734,9.622,54.320901,373.3164290383334,1398.2802775240282,0.27700000000000014,0.39003950037365215,0.7565922920892494,0.8366072381765772
00074.laz,22199,6.497,1.827,1.8373705,4.349625333166667,5103.65797042993,0.07500000000000001,0.27258734800677237,0.8687086347545021,0.9456672310297061
00076.laz,52791,9.023,1.797,1.9862210000000005,7.575746386666671,6968.422292080984,0.09949999999999992,0.26554361077247035,0.8168015072592265,0.964756732793971
00078.laz,71721,10.112,3.0180000000000002,5.4797785,20.925182796833326,3427.496939756902,0.10849999999999993,0.36095727848101267,0.8915150316455697,0.9529272151898736
00079.laz,636037,19.996,12.228,74.959368,572.7727676431664,1110.4525842196583,0.31999999999999984,0.36782356471294264,0.8008601720344068,0.9200840168033607
00080.laz,45218,7.107,2.7880000000000003,3.7356545000000003,10.24101831016666,4415.381227774031,0.08050000000000007,0.3343182777543267,0.8925003517658646,0.9593358660475588
00081.laz,10999,6.031,0.371,0.054195,0.1496012866666667,73522.09493028869,0.07150000000000002,0.11523793732382691,0.587133145415354,0.884927872657934
00082.laz,416618,16.708000000000002,9.054,40.378406000000005,267.4770378373335,1557.5841700974972,0.2729999999999997,0.40764903040459655,0.7940507541297581,0.9133349293751495
00083.laz,892713,18.993000000000002,12.823,93.657059,705.0627393361666,1266.1468975661805,0.33950000000000036,0.5437792871057757,0.8047701784868109,0.924445848470489
00084.laz,46491,8.993,1.983,2.6287825000000002,10.69726415699999,4346.06450001308,0.13699999999999996,0.39008117424663624,0.7730457022128322,0.9536306015790059
00086.laz,18160,7.622,1.694,1.8339415,5.125944513666665,3542.7617196366955,0.07550000000000001,0.2299921280503805,0.9187221201784308,0.9682498032012595
00088.laz,5800,3.773,0.129,0.0106655,0.03069807300000001,188936.9407649789,0.08200000000000002,0.1038961038961039,0.4488470712960509,0.9003710575139148
00090.laz,150462,16.694,3.3040000000000003,6.978763000000001,44.34981245949997,3392.6186302907404,0.24850000000000005,0.1375344435126393,0.7527854318916977,0.9374026596381935
00092.laz,30571,6.9190000000000005,1.976,2.0194615,5.248764153166667,5824.418683692618,0.08100000000000002,0.2994652406417112,0.8207833501951148,0.9494146552970082
00093.laz,29800,6.791,1.758,1.7192695,4.546028455666668,6555.172342323114,0.06950000000000003,0.25106758945663377,0.887498159328523,0.9430128110734796
00094.laz,33585,7.972,2.196,2.7784575,8.5370568295,3934.0255864229744,0.09849999999999998,0.22170095333667839,0.7585298544907174,0.9057952834922227
00095.laz,30502,8.626,1.941,1.9587225,6.78605504066667,4494.805865441882,0.07699999999999996,0.22039183862740558,0.7359146765592396,0.963934616276374
00098.laz,275445,21.402,7.322,32.79273449999999,259.55171361466677,1061.2336022135787,0.2765000000000002,0.1658256237734791,0.7449771049434633,0.9148677693673489
00099.laz,20744,6.5920000000000005,1.1500000000000001,0.31229050000000014,0.3352844988333336,61869.84507837812,0.15950000000000003,0.16398665048543687,0.5438410194174756,0.8850121359223301
00100.laz,14065,7.5440000000000005,1.471,1.2104580000000003,3.3956866260000007,4142.019434981866,0.08250000000000002,0.1417020148462354,0.7470837751855779,0.9616914103923647
