filename,height,crown_volume,tree_volume,tree_area,crown_diameter,crown_area,point_density,crown_ratio,stem_diameter,stem_quality,trunk_height,is_sapling,p10_height_rel,p90_height_rel,p50_height_rel
00070.laz,9.018,18.79710050166668,20.562898124166654,47.975932777560466,2.884,43.82619393713865,8789.088489687292,0.9141270062304734,0.03169989852971493,0.9976415094339622,1.0,0,0.3599467731204258,0.946773120425815,0.8941006875138612
00071.laz,7.841,20.026208907833333,22.22569788233333,47.57418156798336,3.7110000000000003,43.10131841605935,11281.851804616757,0.9010384741957499,0.04206314903426912,0.9308943089430894,1.0,0,0.5050376227522,0.8756536156102538,0.7895676571865833
00072.laz,14.895,12.78516259699999,21.575405599166672,68.27534356145479,3.537,41.00858340183082,4574.152400134273,0.5925804054174446,0.10773087459512774,1.0,5.8000000000000025,0,0.10493454179254784,0.7865726753944278,0.4792212151728768
00073.laz,18.734,294.54237970349993,402.6362777129999,319.2801686198428,9.622,243.52734185135535,27863.830468666594,0.7315346281674361,0.12906917316179203,0.995579133510168,5.600000000000002,0,0.39003950037365215,0.8366072381765772,0.7565922920892494
00074.laz,6.497,4.004670286166666,4.669258445166667,19.410449249433302,1.827,16.7620982284325,3416.8077574265044,0.8576673005350685,0.022083368092483027,1.0,1.0,0,0.27258734800677237,0.9456672310297061,0.8687086347545021
00076.laz,9.023,7.81405797966667,8.3250170685,30.410255037536597,1.797,28.083965670384696,5850.714839853707,0.9386236587109611,0.03173980943145001,1.0,1.0,0,0.26554361077247035,0.964756732793971,0.8168015072592265
00078.laz,10.112,20.725562983333333,22.657258800999994,52.27901792319441,3.0180000000000002,47.93942401756073,7092.662183544304,0.914742739418177,0.03707317904787105,0.9824175824175824,1.0,0,0.36095727848101267,0.9529272151898736,0.8915150316455697
00079.laz,19.996,449.35128468783313,623.3496883273328,431.11657416990863,12.228,326.92174577338034,31808.211642328468,0.7208654998987826,0.14013140433986876,0.984704641350211,6.400000000000003,0,0.36782356471294264,0.9200840168033607,0.8008601720344068
00080.laz,7.107,9.599944543999998,10.886662212166668,31.982937418544797,2.7880000000000003,28.267047313764905,6362.459546925566,0.8818078816913539,0.027222565931410113,1.0,1.0,0,0.3343182777543267,0.9593358660475588,0.8925003517658646
00081.laz,6.031,0.11993226966666663,0.15433990466666658,3.635223975439738,0.371,2.9478409982625493,1823.7439893881613,0.7770658529671159,0.026341555144755092,1.0,1.0,0,0.11523793732382691,0.884927872657934,0.587133145415354
00082.laz,16.708000000000002,202.2812039171663,289.09135856250015,268.43274379314266,9.054,194.6731920139533,24935.240603303802,0.6997137684191072,0.1157411047126627,0.993841416474211,6.200000000000003,0,0.40764903040459655,0.9133349293751495,0.7940507541297581
00083.laz,18.993000000000002,458.9671121865004,764.9124714965,474.3893087519222,12.823,320.6037813130997,47002.21134102037,0.6000256621369527,0.15228611070187384,0.9901234567901235,10.199999999999996,0,0.5437792871057757,0.924445848470489,0.8047701784868109
00084.laz,8.993,10.912618059166665,11.629417197666658,35.231407740718424,1.983,32.67334289623059,5169.68753474925,0.9383632794045936,0.02805221406999202,0.9954954954954955,1.0,0,0.39008117424663624,0.9536306015790059,0.7730457022128322
00086.laz,7.622,4.699344282166667,5.380815953833334,22.250483323692666,1.694,19.592312295524305,2382.5767515087905,0.8733516110728184,0.02742672766223231,1.0,1.0,0,0.2299921280503805,0.9682498032012595,0.9187221201784308
